Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Rental Count,Temperature Category,Good Weather
2017-12-01,0,-5.2,0,2.2,0.0,0.0,Winter,0,True,257,Freesing,0
2017-12-01,1,-5.5,0,0.8,0.0,0.0,Winter,0,True,219,Freesing,0
2017-12-01,2,-6.0,0,1.0,0.0,0.0,Winter,0,True,162,Freesing,0
2017-12-01,3,-6.2,1,0.9,0.0,0.0,Winter,0,True,148,Freesing,0
2017-12-01,4,-6.0,0,2.3,0.0,0.0,Winter,0,True,97,Freesing,0
2017-12-01,5,-6.4,0,1.5,0.0,0.0,Winter,0,True,173,Freesing,0
2017-12-01,6,-6.6,0,1.3,0.0,0.0,Winter,0,True,167,Freesing,0
2017-12-01,7,-7.4,0,0.9,0.0,0.0,Winter,0,True,483,Freesing,0
2017-12-01,8,-7.6,0,1.1,0.0,0.0,Winter,0,True,853,Freesing,0
2017-12-01,9,-6.5,0,0.5,0.0,0.0,Winter,0,True,238,Freesing,0
2017-12-01,10,-3.5,0,1.2,0.0,0.0,Winter,0,True,385,Freesing,0
2017-12-01,11,-0.5,0,1.3,0.0,0.0,Winter,0,True,334,Freesing,0
2017-12-01,12,1.7,0,1.4,0.0,0.0,Winter,0,True,592,Chilly,0
2017-12-01,13,2.4,0,1.6,0.0,0.0,Winter,0,True,700,Chilly,0
2017-12-01,14,3.0,0,2.0,0.0,0.0,Winter,0,True,490,Chilly,0
2017-12-01,15,2.1,0,3.2,0.0,0.0,Winter,0,True,817,Chilly,0
2017-12-01,16,1.2,1,4.2,0.0,0.0,Winter,0,True,184,Chilly,0
2017-12-01,17,0.8,1,1.6,0.0,0.0,Winter,0,True,468,Chilly,0
2017-12-01,18,0.6,0,1.4,0.0,0.0,Winter,0,True,924,Chilly,0
2017-12-01,19,0.0,0,1.7,0.0,0.0,Winter,0,True,917,Chilly,0
2017-12-01,20,-0.3,0,1.5,0.0,0.0,Winter,0,True,184,Freesing,0
2017-12-01,21,-0.8,0,0.8,0.0,0.0,Winter,0,True,319,Freesing,0
2017-12-01,22,-0.9,0,1.5,0.0,0.0,Winter,0,True,473,Freesing,0
2017-12-01,23,-1.3,0,1.0,0.0,0.0,Winter,0,True,218,Freesing,0
2017-12-02,0,-1.8,0,1.1,0.0,0.0,Winter,0,True,199,Freesing,0
2017-12-02,1,-2.2,0,0.6,0.0,0.0,Winter,0,True,131,Freesing,0
2017-12-02,2,-2.9,0,1.5,0.0,0.0,Winter,0,True,179,Freesing,0
2017-12-02,3,-3.5,0,2.2,0.0,0.0,Winter,0,True,129,Freesing,0
2017-12-02,4,-3.8,0,2.0,0.0,0.0,Winter,0,True,55,Freesing,0
